action,phi,delta,k0
0,0,0,0
1,0,0,0.25
2,0,0,0.5
3,0,0,0.75
4,0,0,1
5,0,0.25,0
6,0,0.25,0.25
7,0,0.25,0.5
8,0,0.25,0.75
9,0,0.25,1
10,0,0.5,0
11,0,0.5,0.25
12,0,0.5,0.5
13,0,0.5,0.75
14,0,0.5,1
15,0,0.75,0
16,0,0.75,0.25
17,0,0.75,0.5
18,0,0.75,0.75
19,0,0.75,1
20,0,1,0
21,0,1,0.25
22,0,1,0.5
23,0,1,0.75
24,0,1,1
25,0.05,0,0
26,0.05,0,0.25
27,0.05,0,0.5
28,0.05,0,0.75
29,0.05,0,1
30,0.05,0.25,0
31,0.05,0.25,0.25
32,0.05,0.25,0.5
33,0.05,0.25,0.75
34,0.05,0.25,1
35,0.05,0.5,0
36,0.05,0.5,0.25
37,0.05,0.5,0.5
38,0.05,0.5,0.75
39,0.05,0.5,1
40,0.05,0.75,0
41,0.05,0.75,0.25
42,0.05,0.75,0.5
43,0.05,0.75,0.75
44,0.05,0.75,1
45,0.05,1,0
46,0.05,1,0.25
47,0.05,1,0.5
48,0.05,1,0.75
49,0.05,1,1
50,0.1,0,0
51,0.1,0,0.25
52,0.1,0,0.5
53,0.1,0,0.75
54,0.1,0,1
55,0.1,0.25,0
56,0.1,0.25,0.25
57,0.1,0.25,0.5
58,0.1,0.25,0.75
59,0.1,0.25,1
60,0.1,0.5,0
61,0.1,0.5,0.25
62,0.1,0.5,0.5
63,0.1,0.5,0.75
64,0.1,0.5,1
65,0.1,0.75,0
66,0.1,0.75,0.25
67,0.1,0.75,0.5
68,0.1,0.75,0.75
69,0.1,0.75,1
70,0.1,1,0
71,0.1,1,0.25
72,0.1,1,0.5
73,0.1,1,0.75
74,0.1,1,1
75,0.2,0,0
76,0.2,0,0.25
77,0.2,0,0.5
78,0.2,0,0.75
79,0.2,0,1
80,0.2,0.25,0
81,0.2,0.25,0.25
82,0.2,0.25,0.5
83,0.2,0.25,0.75
84,0.2,0.25,1
85,0.2,0.5,0
86,0.2,0.5,0.25
87,0.2,0.5,0.5
88,0.2,0.5,0.75
89,0.2,0.5,1
90,0.2,0.75,0
91,0.2,0.75,0.25
92,0.2,0.75,0.5
93,0.2,0.75,0.75
94,0.2,0.75,1
95,0.2,1,0
96,0.2,1,0.25
97,0.2,1,0.5
98,0.2,1,0.75
99,0.2,1,1
100,0.3,0,0
101,0.3,0,0.25
102,0.3,0,0.5
103,0.3,0,0.75
104,0.3,0,1
105,0.3,0.25,0
106,0.3,0.25,0.25
107,0.3,0.25,0.5
108,0.3,0.25,0.75
109,0.3,0.25,1
110,0.3,0.5,0
111,0.3,0.5,0.25
112,0.3,0.5,0.5
113,0.3,0.5,0.75
114,0.3,0.5,1
115,0.3,0.75,0
116,0.3,0.75,0.25
117,0.3,0.75,0.5
118,0.3,0.75,0.75
119,0.3,0.75,1
120,0.3,1,0
121,0.3,1,0.25
122,0.3,1,0.5
123,0.3,1,0.75
124,0.3,1,1
